epoch,train_loss,val_loss
241,0.0219,0.0151
242,0.0219,0.0155
243,0.0219,0.0157
244,0.0219,0.0152
245,0.0218,0.0150
246,0.0219,0.0150
247,0.0218,0.0150
248,0.0218,0.0158
249,0.0219,0.0154
250,0.0219,0.0150
251,0.0219,0.0151
252,0.0219,0.0152
253,0.0218,0.0154
254,0.0219,0.0150
255,0.0218,0.0149
256,0.0218,0.0150
257,0.0219,0.0151
258,0.0218,0.0151
259,0.0219,0.0149
260,0.0218,0.0158
261,0.0219,0.0151
262,0.0218,0.0150
263,0.0217,0.0152
264,0.0218,0.0155
265,0.0218,0.0149
266,0.0218,0.0148
267,0.0219,0.0154
268,0.0218,0.0155
269,0.0218,0.0152
270,0.0218,0.0150
271,0.0218,0.0150
272,0.0218,0.0153
273,0.0218,0.0154
274,0.0218,0.0149
275,0.0218,0.0150
276,0.0218,0.0150
277,0.0217,0.0151
278,0.0217,0.0150
279,0.0218,0.0152
280,0.0218,0.0151
281,0.0218,0.0149
282,0.0218,0.0149
283,0.0218,0.0152
284,0.0218,0.0153
285,0.0218,0.0151
286,0.0218,0.0150
287,0.0217,0.0153
288,0.0216,0.0148
289,0.0215,0.0147
290,0.0214,0.0147
291,0.0216,0.0147
292,0.0215,0.0146
293,0.0215,0.0149
294,0.0215,0.0147
295,0.0215,0.0147
296,0.0214,0.0147
297,0.0215,0.0148
298,0.0215,0.0147
299,0.0214,0.0148
300,0.0215,0.0147
301,0.0214,0.0146
302,0.0215,0.0147
303,0.0215,0.0147
304,0.0214,0.0146
305,0.0214,0.0148
306,0.0214,0.0147
307,0.0214,0.0148
308,0.0215,0.0146
309,0.0215,0.0147
310,0.0214,0.0147
311,0.0214,0.0152
312,0.0215,0.0146
313,0.0214,0.0147
314,0.0214,0.0147
315,0.0213,0.0146
316,0.0214,0.0150
317,0.0213,0.0149
318,0.0214,0.0147
319,0.0215,0.0148
320,0.0213,0.0148
321,0.0215,0.0147
322,0.0214,0.0147
323,0.0214,0.0148
324,0.0213,0.0146
325,0.0214,0.0149
326,0.0213,0.0148
327,0.0214,0.0148
328,0.0213,0.0147
329,0.0213,0.0147
330,0.0213,0.0148
331,0.0213,0.0148
332,0.0214,0.0147
333,0.0213,0.0148
334,0.0213,0.0147
335,0.0212,0.0147
336,0.0212,0.0146
337,0.0212,0.0146
338,0.0212,0.0147
339,0.0212,0.0148
340,0.0212,0.0145
341,0.0212,0.0147
342,0.0211,0.0146
343,0.0212,0.0146
344,0.0212,0.0147
345,0.0212,0.0146
346,0.0212,0.0146
347,0.0211,0.0146
348,0.0211,0.0145
349,0.0212,0.0146
350,0.0211,0.0146
351,0.0212,0.0145
352,0.0211,0.0146
353,0.0211,0.0147
354,0.0211,0.0146
355,0.0212,0.0146
356,0.0211,0.0146
357,0.0212,0.0146
358,0.0211,0.0147
359,0.0212,0.0147
360,0.0211,0.0145
361,0.0211,0.0146
362,0.0211,0.0147
363,0.0211,0.0146
364,0.0212,0.0146
365,0.0211,0.0146
366,0.0211,0.0146
367,0.0212,0.0147
368,0.0211,0.0147
369,0.0212,0.0146
370,0.0211,0.0147
371,0.0211,0.0147
372,0.0211,0.0147
373,0.0210,0.0147
374,0.0212,0.0148
375,0.0211,0.0146
376,0.0211,0.0147
377,0.0211,0.0147
378,0.0211,0.0147
379,0.0210,0.0146
380,0.0211,0.0146
381,0.0211,0.0147
382,0.0210,0.0146
383,0.0211,0.0147
384,0.0210,0.0146
385,0.0210,0.0146
386,0.0210,0.0146
387,0.0211,0.0146
388,0.0210,0.0146
389,0.0211,0.0146
390,0.0210,0.0146
391,0.0210,0.0147
392,0.0209,0.0146
393,0.0209,0.0146
394,0.0210,0.0147
395,0.0210,0.0147
396,0.0211,0.0146
397,0.0210,0.0146
398,0.0210,0.0148
399,0.0211,0.0146
400,0.0210,0.0145
